park,latitude,longitude,region
Adams Lake Park - Bush Creek Site,50.983898,-119.726943,tc
Akamina-Kishinena Park,49.027631,-114.195968,ok
Alexandra Bridge Park,49.705567,-121.407693,south
Alice Lake Park,49.784209,-123.118287,south
Allison Lake Park,49.681343,-120.603604,ok
Ancient Forest/Chun T'oh Whudujut Park,53.762291,-121.218785,north
Anderson Flats Park,55.246686,-127.667701,north
Anhluut'ukwsim Laxmihl Angwinga'asanakwhl Nisga'a [a.k.a. Nisga'a Memorial Lava Bed Park],55.152413,-128.864044,north
Arrow Lakes Park,50.637649,-117.925386,ok
Babine Lake Marine Park,54.515611,-125.704798,north
Babine Mountains Park,54.890431,-126.898907,north
Babine River Corridor Park,55.624866,-127.020255,north
Bamberton Park,48.605112,-123.525428,west
Bear Creek Park,49.928098,-119.518584,ok
Beatton Park,56.326242,-120.945103,north
Beaumont Park,54.055858,-124.616005,north
Bellhouse Park,48.872082,-123.311903,west
Big Bar Lake Park,51.308707,-121.812159,tc
Bijoux Falls Park,55.310914,-122.671534,north
Birkenhead Lake Park,50.568093,-122.725004,south
Bishop Bay - Monkey Beach Conservancy,53.470884,-128.836159,north
Blackcomb Glacier Park,50.092915,-122.873008,south
Blanket Creek Park,50.832093,-118.086335,ok
Bodega Ridge Park,48.956299,-123.533222,west
Boundary Creek Park,49.058142,-118.69578,ok
Bowron Lake Park,53.207,-120.96332,tc
Boyle Point Park,49.478418,-124.694376,west
Brandywine Falls Park,50.034004,-123.119384,south
Bridal Veil Falls Park,49.181313,-121.741621,south
Bridge Lake Park,51.48591,-120.699691,tc
Bromley Rock Park,49.417297,-120.258497,ok
Broughton Archipelago Park,50.680629,-126.693504,west
Buccaneer Bay Park,49.494951,-123.990882,south
Buckinghorse River Wayside Park,57.384493,-122.842631,north
Bugaboo Park,50.832506,-116.815132,ok
Bull Canyon Park,52.091421,-123.377247,tc
Burgoyne Bay Park,48.790126,-123.513667,west
Call Lake Park,54.763273,-127.091205,north
Callaghan Lake Park,50.201455,-123.178778,south
Cape Scott Park,50.725079,-128.343568,west
Carmanah Walbran Park,48.645323,-124.654052,west
Carp Lake Park,54.765699,-123.378643,north
Cascade-Sutslem Conservancy,52.646953,-127.464964,tc
Cathedral Park,49.067117,-120.142048,ok
Champion Lakes Park,49.17958,-117.629753,ok
Charlie Lake Park,56.315611,-120.996528,north
Chasm Park,51.177832,-121.436655,tc
Christie Memorial Park,49.34741,-119.574326,ok
Christina Lake Park,49.042695,-118.219072,ok
Cinnemousun Narrows Park,50.987049,-119.016327,tc
Cody Caves Park,49.733554,-116.949522,ok
Collinson Point Park,48.861282,-123.365935,west
Conkle Lake Park,49.169229,-119.101861,ok
Copeland Islands Marine Park,50.008777,-124.811982,south
Coquihalla Canyon Park,49.3701,-121.371434,south
Cowichan River Park,48.77529,-123.929719,west
Crooked River Park,54.477725,-122.683056,north
Cultus Lake Park,49.047991,-121.9661,south
Cypress Park,49.393968,-123.208585,south
Desolation Sound Marine Park,50.113251,-124.688182,south
Diana Lake Park,54.227639,-130.162582,north
Dionisio Point Park,49.00595,-123.573717,west
Discovery Island Marine Park,48.424051,-123.2328,west
Downing Park,51.004842,-121.78169,tc
Drewry Point Park,49.415095,-116.811212,ok
Driftwood Canyon Park,54.826022,-127.021764,north
Drumbeg Park,49.134035,-123.69647,west
Dry Gulch Park,50.585607,-116.036147,ok
Dunn Peak Park,51.466719,-119.965322,tc
E.C. Manning Park,49.119421,-120.856781,ok
